,word,mean,syn
0,anxious,"[': afraid or nervous especially about what may happen : feeling anxiety', ': causing or showing fear or nervousness', ': wanting or eager to do or have something very much especially because of fear or nervousness', ': characterized by extreme uneasiness of mind or brooding fear about some contingency : worried', ': characterized by, resulting from, or causing anxiety : worrying', ': ardently or earnestly wishing', ': afraid or nervous about what may happen', ': causing or showing fear or nervousness', ': wanting very much : eager', ': characterized by extreme uneasiness of mind or brooding fear about some contingency', ': characterized by, resulting from, or causing anxiety']","['aflutter', 'antsy', 'atwitter', 'dithery', 'edgy', 'goosey', 'het up', 'hinky', 'hung up', 'ill at ease', 'insecure', 'jittery', 'jumpy', 'nervous', 'nervy', 'perturbed', 'queasy', 'queazy', 'tense', 'troubled', 'uneasy', 'unquiet', 'upset', 'uptight', 'worried']"
1,awful,"[': extremely disagreeable or objectionable', ': exceedingly great', ': inspiring awe', ': filled with awe: such as', ': deeply respectful or reverential', ': afraid, terrified', ': very, extremely', ': extremely bad or unpleasant', ': causing feelings of fear and wonder : awesome', ': very or extremely : awfully', ': extremely bad or unpleasant', ': very much', ': causing fear or terror', ': awfully']","['abhorrent', 'abominable', 'appalling', 'disgusting', 'distasteful', 'dreadful', 'evil', 'foul', 'fulsome', 'gross', 'hideous', 'horrendous', 'horrible', 'horrid', 'loathsome', 'nasty', 'nauseating', 'nauseous', 'noisome', 'noxious', 'obnoxious', 'obscene', 'odious', 'offensive', 'rancid', 'repellent', 'repellant', 'repugnant', 'repulsive', 'revolting', 'scandalous', 'shocking', 'sickening', 'ugly']"
2,consist,"[': lie, reside', ': exist, be', ': to be capable of existing', ': to be composed or made up', ': to be consistent', ': makeup or composition (as of coal sizes or a railroad train) by classes, types, or grades and arrangement', ': to be made up or composed']","['accord', 'agree', 'answer', 'check', 'chord', 'cohere', 'coincide', 'comport', 'conform', 'correspond', 'dovetail', 'fit', 'go', 'harmonize', 'jibe', 'rhyme', 'rime', 'sort', 'square', 'tally']"
3,desire,"[': to want or wish for (something) : to feel desire for (something)', ': to want to have sex with (someone)', ': to express a wish for (something)', ': to long or hope for : exhibit or feel desire for', ': to express a wish for : request', ': to express a wish to : ask', ': invite', ': to feel the loss of', ': to have or feel desire', ': conscious impulse (see impulse entry 1 sense 1) toward something that promises enjoyment or satisfaction in its attainment', ': longing, craving', ': sexual urge or appetite', ': something longed or hoped for : something desired', ': a usually formal request or petition for some action', ': to long for : wish for in earnest', ': to express a wish for : request', ': a strong wish : longing', ': something longed for', ': to wish for earnestly  — see also precatory']","['ache (for)', 'covet', 'crave', 'desiderate', 'die (for)', 'hanker (for or after)', 'hunger (for)', 'itch (for)', 'jones (for)', 'long (for)', 'lust (for or after)', 'pant (after)', 'pine (for)', 'repine (for)', 'salivate (for)', 'sigh (for)', 'thirst (for)', 'want', 'wish (for)', 'yearn (for)', 'yen (for)']"
4,eager,"[': very excited and interested', ': feeling a strong and impatient desire to do something or for something', ': marked by enthusiastic or impatient desire or interest', ': sharp', ': sour', ': very excited and interested']","['agog', 'antsy', 'anxious', 'ardent', 'athirst', 'avid', 'crazy', 'desirous', 'enthused', 'enthusiastic', 'excited', 'geeked', 'great', 'greedy', 'gung ho', 'hepped up', 'hopped-up', 'hot', 'hungry', 'impatient', 'juiced', 'keen', 'nuts', 'pumped', 'raring', 'solicitous', 'stoked', 'thirsty', 'voracious', 'wild']"
5,household,"[': those who dwell under the same roof and compose a family', ': a social unit composed of those living together in the same dwelling', ': of or relating to a household : domestic', ': familiar, common', ': the people in a family or other group that are living together in one house', ': of or relating to a house or to the people living in a house', ': known to many people : familiar or common', ': all the people in a family or group who live together in one house', ': of or relating to a house or a household', ': familiar sense 1']","['extended family', 'home', 'house', 'ménage']"
6,intent,"[': the thing that you plan to do or achieve : an aim or purpose', ': a usually clearly formulated or planned intention : aim', ': the act or fact of intending : purpose', ': the design or purpose to commit a wrongful or criminal act ', ': the state of mind with which an act is done : volition', ': meaning, significance', ': connotation sense 3', ': directed with strained or eager attention : concentrated', ': having the mind, attention, or will concentrated on something or some end or purpose', ': what someone plans to do or accomplish : purpose', ': meaning sense 2', ': showing concentration or great attention', ': showing great determination', ': the act or fact of intending: as', ': the design or purpose to commit a wrongful or criminal act', ': the purpose to commit a tortious act having consequences that the actor desires and believes or knows will occur', ': intent that is inferred to exist (as from willfulness or recklessness) in relation to an act', ': intent sense 1a', ': intent to perform an illegal act without the desire for further consequences or a precise result', ': intent to perform an illegal act with the knowledge or purpose that particular results will or may ensue', ': intent attributed to a person who intends to cause another harm when the harm is accidentally inflicted on an unintended victim', ': a doctrine in tort and criminal law: a wrongdoer who causes harm to a person other than the one intended may nevertheless be held to have intended the harmful result', ': intendment  — see also legislative intent', ': the purpose of a document (as a contract or will)', ': the aim or goal of a person in creating a document or taking an action', '  — see also original intent', ': with the intent to commit another sometimes specified crime']","['aim', 'ambition', 'aspiration', 'bourne', 'bourn', 'design', 'dream', 'end', 'goal', 'idea', 'ideal', 'intention', 'mark', 'meaning', 'object', 'objective', 'plan', 'point', 'pretension', 'purpose', 'target', 'thing']"
7,landscape,"[': a picture representing a view of natural inland scenery', ': the art of depicting such scenery', ': the landforms of a region in the aggregate', ': a portion of territory that can be viewed at one time from one place', ': a particular area of activity : scene', ': vista, prospect', ': to modify or ornament (a natural landscape) by altering the plant cover', ': to engage in landscape gardening', ': of, relating to, or being a rectangular document or image having the horizontal dimension longer than the vertical dimension', ': a picture that shows a natural scene of land or the countryside', ': an area of land that has a particular quality or appearance', ': a particular area of activity', ': to make changes to improve the appearance of (an area of land)', ': a picture of natural scenery', ': the land that can be seen in one glance', ': to improve the natural beauty of a piece of land']","['chorography', 'geography', 'geomorphology', 'terrain', 'topography']"
8,lift,"[': to raise from a lower to a higher position : elevate', ': to raise in rank or condition', ': to raise in rate or amount', ': to put an end to (a blockade or siege) by withdrawing or causing the withdrawal of investing forces', ': revoke, rescind', ': steal', ': plagiarize', ': to take out of normal setting', ': to take up (something, such as a root crop or transplants) from the ground', ': to pay off (an obligation)', ': to move from one place to another (as by aircraft) : transport', ': to take up (a fingerprint) from a surface', ': ascend, rise', ': to appear elevated (as above surrounding objects)', ': to dissipate and clear', ': the amount that may be lifted at one time : load', ': the action or an instance of lifting', ': the action or an instance of rising', ': elevated carriage (as of a body part)', ': the lifting up (as of a dancer) usually by a partner', ': a device (such as a handle or latch) for lifting', ': an act of stealing : theft', ': assistance, help', "": a ride especially along one's way"", ': a layer in the heel of a shoe', ': a rise or advance in position or condition', ': a slight rise or elevation', ': the distance or extent to which something rises', ': an apparatus or machine used for hoisting: such as', ': a set of pumps used in a mine', ': elevator sense 1b', ': an apparatus for raising an automobile (as for repair)', ': ski lift', ': an elevating influence', ': an elevation of the spirit', ': the component of the total aerodynamic force acting on an airplane or airfoil that is perpendicular to the relative wind and that for an airplane constitutes the upward force that opposes the pull of gravity', ': an updraft that can be used to increase altitude (as of a sailplane)', ': an organized movement of people, equipment, or supplies by some form of transportation', ': airlift', ': plastic surgery on a part of the body typically to improve a drooping or sagging appearance especially by reducing excess skin and fat', ': heavens, sky', ': to move (something or someone) to a higher position : raise', ': to rise up from the ground or some other surface', ': to move (someone or something) to a higher condition or position', ': to raise from a lower to a higher position, rate, or amount', ': to rise from the ground', ': to move upward and disappear or become scattered', ': the action or an instance of picking up and raising', ': an improved mood or condition', ': a ride in a vehicle', ': elevator sense 1', ': an upward force (as on an airplane wing) that opposes the pull of gravity', ': plastic surgery on a part of the body typically to improve a drooping or sagging appearance especially by reducing excess skin and fat', ': to put an end to : make no longer effective']","['boost', 'crane', 'elevate', 'heave', 'heft', 'heighten', 'hike', 'hoist', 'jack (up)', 'perk (up)', 'pick up', 'raise', 'take up', 'up', 'uphold', 'uplift', 'upraise']"
9,load,"[': the quantity that can be carried at one time by a specified means', ': a measured quantity of a commodity fixed for each type of carrier ', ': whatever is put on a person or pack animal to be carried : pack', ': whatever is put in a ship or vehicle or airplane for conveyance : cargo', ': a quantity of material assembled or packed as a shipping unit', ': a mass or weight supported by something', ': the forces to which a structure is subjected due to superposed weight or to wind pressure on the vertical surfaces', ': the forces to which a given object is subjected ', ': something that weighs down the mind or spirits', ': a burdensome or laborious responsibility', ': an intoxicating amount of liquor drunk', ': a large quantity : lot', ': a charge for a firearm', ': the quantity of material loaded into a device at one time', ': external resistance overcome by a machine or prime mover', ': power output (as of a power plant) or power consumption (as by a device)', ': a device to which power is delivered', ': the amount of work that a person carries or is expected to carry', ': the amount of authorized work to be performed by a machine, a group, a department, or a factory', ': the demand on the operating resources of a system (such as a telephone exchange or a refrigerating apparatus)', ': eyeful', ': the amount of a deleterious or pathogenic agent, growth, or substance present in a human or animal body or test sample (as of blood or tissue)', ': an amount added (as to the price of a security or the net premium in insurance) to represent selling expense and profit to the distributor', ': genetic load', ': to put a load in or on', ': to place in or on a means of conveyance', ': to encumber or oppress with something heavy, laborious, or disheartening : burden', ': to place as a burden or obligation', ': to increase the weight of by adding something heavy', ': to add a conditioning substance (such as a mineral salt) to for body', ': to weight or shape (dice) to fall unfairly', ': to pack with one-sided or prejudicial influences : bias', ': to charge with multiple meanings (such as emotional associations or hidden implications)', ': to weight (something, such as a test) with factors influencing validity or outcome', ': to supply in abundance or excess : heap, pack', ': to put runners on (first, second, and third bases) in baseball', ': to put a load or charge in (a device or piece of equipment)', ': to place or insert especially as a load in a device or piece of equipment', ': to copy or transfer (something, such as a program or data) into the memory of a digital device (such as a computer) especially from an external source (such as a disk drive or the Internet)', ': to put a supply of funds or resources into (an account, a gift card, etc.)', ': to alter (something, such as an alcoholic drink) by adding an adulterant or drug', ': to add a load to (an insurance premium)', ': to add a sum to after profits and expenses are accounted for', ': to receive a load', ': to put a load on or in a carrier, device, or container', ': to insert the charge or cartridge in the chamber of a firearm', ': to go or go in as a load', "": to become loaded into a computer's memory"", ': to ingest in usually large amounts', ': to acquire in usually large amounts', ': something that is lifted and carried', ': an amount that can be carried at one time : an amount that fills something (such as a truck)', ': the weight that is carried or supported by something', ': to put an amount of something in or on (something)', ': to put (an amount of something) into or onto something', ': to supply (someone or something) with a large amount of something', ': something lifted up and carried : burden', ': the quantity of material put into a device at one time', ': a large number or amount', ': a mass or weight supported by something', ': something that causes worry or sadness', ': a charge for a firearm', ': to put a load in or on', ': to supply abundantly', ': to put something into a device so it can be used', ': a mass or weight put on something', ': the amount of stress put on something', ': an amount of something (as food or water) added to the body or available for use in some physiological process', ': the number or quantity (as of patients) to be accommodated or treated', ': the amount of a deleterious microorganism, parasite, growth, or substance present in a human or animal body', ': genetic load', ': to put a load in or on', ': to weight (as a test or experimental situation) with factors influencing validity or outcome', ': to change by adding an adulterant or drug', ': an amount added (as to the price of a security or the net premium in insurance) to represent selling expense and profit to the distributor  — compare no-load']","['burden', 'cargo', 'draft', 'freight', 'haul', 'lading', 'loading', 'payload', 'weight']"
